sentence,aspect_term,category,opinion_term,polarity,implicitness
"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",pizza is,quality,delicious -,positive,EAEO
"the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",mozzarella instead,quality,fresh mozzarella,positive,EAEO
"two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",appetizer selection stinks,ambience,"stinks ,",negative,EAEO
"also , because it is so thin , it gets cold very quickly and its not that filling .",implicit,quality,cold very,negative,IAEO
"also , because it is so thin , it gets cold very quickly and its not that filling .",implicit,ambience,"thin ,",negative,IAEO
wait staff is blantently unappreciative of your business but its the best pie on the uws !,wait staff is,general,unappreciative of,negative,EAEO
wait staff is blantently unappreciative of your business but its the best pie on the uws !,pie on,quality,best pie,positive,EAEO
by far the best salad i have had in a fast food restaurant .,salad i,quality,best salad,positive,EAEO
over 100 different choices to create your own .,implicit,ambience,implicit,positive,IAIO
a must try !,implicit,general,implicit,positive,IAIO
"on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .",restaurant on,general,great restaurant,positive,EAEO
"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",implicit,quality,delicious accompaniment,positive,IAEO
"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",implicit,general,"quiet ,",positive,IAEO
"this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",implicit,general,"relaxing ,",positive,IAEO
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",chicken pot pie is,quality,"exceptional ,",positive,EAEO
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",cheeseburger huge,ambience,huge and,positive,EAEO
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",cheeseburger huge,quality,"delictable ,",positive,EAEO
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",service professional,general,professional wan,positive,EAEO
"the chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",service professional,general,warm .,positive,EAEO
"with so many poor experiences to be had in the theater district , is truly an excellent find !",implicit,general,excellent find,positive,IAEO
the staff is no nonsense .,staff is,general,no nonsense .,positive,EAEO
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,bagels and,quality,better than,positive,EAEO
worth visiting the 1st ave spot because it is the original store .,1st ave spot because,general,worth visiting,positive,EAEO
"he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !","uni hand roll ,",quality,heaven !,positive,EAEO
the sake menu should not be overlooked !,sake menu should,ambience,overlooked !,positive,EAEO
"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",implicit,general,gem instantly,positive,IAEO
"all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",implicit,general,favorite sushi,positive,IAEO
try the lobster teriyaki and the rose special roll .,lobster teriyaki and,quality,implicit,positive,EAIO
try the lobster teriyaki and the rose special roll .,rose special roll .,quality,implicit,positive,EAIO
"service was very good - prompt , attentive and non - intrusive .",service was,general,good -,positive,EAEO
"service was very good - prompt , attentive and non - intrusive .",service was,general,"prompt ,",positive,EAEO
"service was very good - prompt , attentive and non - intrusive .",service was,general,attentive and,positive,EAEO
"service was very good - prompt , attentive and non - intrusive .",service was,general,non - intrusive .,positive,EAEO
"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .",food was,quality,good as,positive,EAEO
"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .",pork belly that,quality,implicit,negative,EAIO
wine list selection is good and wine - by - the - glass was generously filled to the top .,wine list selection is,ambience,good and,positive,EAEO
wine list selection is good and wine - by - the - glass was generously filled to the top .,wine - by - the - glass was,ambience,generously filled to,positive,EAEO
traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,traditional french decour was,general,pleasant though,positive,EAEO
traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,hall was,general,noisy -,negative,EAEO
"i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .",cafe spice probably,general,best indian,positive,EAEO
"to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .",service varies,general,good to,neutral,EAEO
"to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .",service varies,general,"mediorce ,",neutral,EAEO
"to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .",service varies,general,average ok .,neutral,EAEO
"seating is always prompt , though the restaurant does fill up in the evening .",seating is,general,"prompt ,",positive,EAEO
"food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders .",food is,quality,"good ,",positive,EAEO
"food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders .",raw vegatables in side orders .,quality,wondered about freshmess of,negative,EAEO
"as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .",implicit,general,implicit,neutral,IAIO
"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .",decor is,general,vibrant and,positive,EAEO
"the decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .",decor is,general,eye - pleasing with,positive,EAEO
